file;title;artist;location;date;image
Cream MTK.mp3;Cream;Prince;Schloß Cafe Bar Sierning;11. Juli 2026;band-3.jpeg
December 63 MTK.mp3;December 1963 (Oh, What A Night);Four Seasons;Schloß Cafe Bar Sierning;11. Juli 2026;band-5.jpeg
Holdtheline MTK.mp3;Hold the Line;Toto;Schloß Cafe Bar Sierning;11. Juli 2026;band-2.jpg
lets dance MTK.mp3;Let's Dance;David Bowie;Schloß Cafe Bar Sierning;11. Juli 2026;band-3.jpeg
new years MTK.mp3;New Year’s Day;U2;Schloß Cafe Bar Sierning;11. Juli 2026;band-4.jpg
sheriff MTK.mp3;I Shot the Sheriff;Eric Clapton;Schloß Cafe Bar Sierning;11. Juli 2026;band-5.jpeg
smooth operator MTK.mp3;Smooth Operator;Sade;Schloß Cafe Bar Sierning;11. Juli 2026;band-3.jpeg
soulman MTK.mp3;Soul Man;Blues Brothers;Schloß Cafe Bar Sierning;11. Juli 2026;band-1.jpg
sweet child of mine MTK.mp3;Sweet Child O' Mine;Guns N' Roses;Schloß Cafe Bar Sierning;11. Juli 2026;band-5.jpeg
under pressure MTK.mp3;Under Pressure;Queen;Schloß Cafe Bar Sierning;11. Juli 2026;band-2.jpg
virtual insanity MTK.mp3;Virtual Insanity;Jamiroquai;Schloß Cafe Bar Sierning;11. Juli 2026;band-1.jpg
wouldnt i MTK.mp3;Wouldn't It Be Good;Nik Kershaw;Schloß Cafe Bar Sierning;11. Juli 2026;band-4.jpg
