from;until;title;artist;location;date
0:02;3:31;Ex's & Oh's;Elle King;Schloß Cafe Bar Sierning;11. Juli 2026
4:16;7:33;December 1963;Four Seasons;Schloß Cafe Bar Sierning;11. Juli 2026
8:17;12:35;Cream;Prince;Schloß Cafe Bar Sierning;11. Juli 2026
13:15;17:19;Smooth Operator;Sade;Schloß Cafe Bar Sierning;11. Juli 2026
17:57;21:45;Bad Things;Jace Everett;Schloß Cafe Bar Sierning;11. Juli 2026
22:51;26:56;Wouldn't It Be Good;Nik Kershaw;Schloß Cafe Bar Sierning;11. Juli 2026
27:55;33:20;Virtual Insanity;Jamiroquai;Schloß Cafe Bar Sierning;11. Juli 2026
34:15;38:23;Let's Dance;David Bowie;Schloß Cafe Bar Sierning;11. Juli 2026
39:00;42:52;Hold the Line;Toto;Schloß Cafe Bar Sierning;11. Juli 2026
44:00;51:18;I Shot the Sheriff;Eric Clapton;Schloß Cafe Bar Sierning;11. Juli 2026
52:16;59:29;Hotel California;Eagles;Schloß Cafe Bar Sierning;11. Juli 2026
1:00:09;1:03:20;Soul Man;Blues Brothers;Schloß Cafe Bar Sierning;11. Juli 20261
1:04:00;1:07:38;You Know My Name;Chris Cornell;Schloß Cafe Bar Sierning;11. Juli 20261
1:08:15;1:12:55;I Wish;Stevie Wonder;Schloß Cafe Bar Sierning;11. Juli 20261
1:13:37;1:17:36;Treasure;Bruno Mars;Schloß Cafe Bar Sierning;11. Juli 20261
1:18:38;1:25:23;Sweet Child O' Mine;Guns N' Roses;Schloß Cafe Bar Sierning;11. Juli 2026
1:27:28;1:31:18;Under Pressure;Queen;Schloß Cafe Bar Sierning;11. Juli 2026
1:32:38;1:37:20;New Year’s Day;U2;Schloß Cafe Bar Sierning;11. Juli 2026
